AofA,C,roomType,ventilationRate
0,2,cross,0.06229539291888117
45,2,cross,0.12459078583776233
90,2,cross,0.1513149836454241
135,2,cross,0.12063450966013708
180,2,cross,0.06229539291888117
225,2,cross,0.12459078583776233
270,2,cross,0.1513149836454241
315,2,cross,0.12063450966013708
0,2,corner,0.08765738781333393
45,2,corner,0.07629596298872363
90,2,corner,0.14273667674889445
135,2,corner,0.09849766467939466
180,2,corner,0.020472355158191277
225,2,corner,0.0
270,2,corner,0.03685445146276398
315,2,corner,0.08357803995100639
0,2,dual,0.09976259719411144
45,2,dual,0.07750659585883157
90,2,dual,0.037915331479238916
135,2,dual,0.04516935960763154
180,2,dual,0.049985226837923974
225,2,dual,0.148454465162968
270,2,dual,0.1978057800177542
315,2,dual,0.04517051326517103
0,2,single,0.0
45,2,single,0.0
90,2,single,0.0
135,2,single,0.0
180,2,single,0.0
225,2,single,0.0
270,2,single,0.0
315,2,single,0.0
0,3,cross,0.08721355008643362
45,3,cross,0.17442710017286725
90,3,cross,0.2118409771035937
135,3,cross,0.16888831352419192
180,3,cross,0.08721355008643362
225,3,cross,0.17442710017286725
270,3,cross,0.2118409771035937
315,3,cross,0.16888831352419192
0,3,corner,0.14609564635555655
45,3,corner,0.10681434818421306
90,3,corner,0.19983134744845224
135,3,corner,0.13789673055115254
180,3,corner,0.0341205919303188
225,3,corner,0.0
270,3,corner,0.051596232047869575
315,3,corner,0.13929673325167732
0,3,dual,0.16627099532351908
45,3,dual,0.1291776597647193
90,3,dual,0.06319221913206487
135,3,dual,0.07528226601271924
180,3,dual,0.08330871139653995
225,3,dual,0.2078362512281552
270,3,dual,0.27692809202485585
315,3,dual,0.07528418877528506
0,3,single,0.0
45,3,single,0.0
90,3,single,0.0
135,3,single,0.0
180,3,single,0.0
225,3,single,0.0
270,3,single,0.0
315,3,single,0.0
