room,window,wind_angle,effective_angle,C_p
cross,large_face_B,0,90,-0.4
cross,large_face_B,0,270,-0.2
cross,large_face_B,45,45,0.5
cross,large_face_B,45,225,-0.3
cross,large_face_B,90,0,0.75
cross,large_face_B,90,180,-0.43
cross,large_face_B,135,315,0.2
cross,large_face_B,135,135,-0.55
cross,large_face_B,180,270,-0.2
cross,large_face_B,180,90,-0.4
cross,large_face_B,225,225,-0.3
cross,large_face_B,225,45,0.5
cross,large_face_B,270,180,-0.43
cross,large_face_B,270,0,0.75
cross,large_face_B,315,135,-0.55
cross,large_face_B,315,315,0.2
corner,small_face_A,0,0,0.7
corner,large_face_B,0,90,-0.4
corner,small_face_A,45,315,0.2
corner,large_face_B,45,45,0.5
corner,small_face_A,90,270,-0.3
corner,large_face_B,90,0,0.75
corner,small_face_A,135,225,-0.3
corner,large_face_B,135,315,0.2
corner,small_face_A,180,180,-0.14
corner,large_face_B,180,270,-0.2
corner,small_face_A,225,135,-0.3
corner,large_face_B,225,225,-0.3
corner,small_face_A,270,90,-0.5
corner,large_face_B,270,180,-0.43
corner,small_face_A,315,45,0.45
corner,large_face_B,315,135,-0.55
dual,small_face_A,0,0,0.7
dual,large_face_B,0,270,-0.2
dual,large_face_AB,0,270,-0.2
dual,door,0,0,0.0
dual,small_face_A,45,315,0.2
dual,large_face_B,45,225,-0.3
dual,large_face_AB,45,225,-0.4
dual,door,45,315,0.0
dual,small_face_A,90,270,-0.3
dual,large_face_B,90,180,-0.43
dual,large_face_AB,90,180,-0.43
dual,door,90,270,0.0
dual,small_face_A,135,225,-0.3
dual,large_face_B,135,135,-0.55
dual,large_face_AB,135,135,-0.4
dual,door,135,225,0.0
dual,small_face_A,180,180,-0.14
dual,large_face_B,180,90,-0.4
dual,large_face_AB,180,90,-0.2
dual,door,180,180,0.0
dual,small_face_A,225,135,-0.3
dual,large_face_B,225,45,0.5
dual,large_face_AB,225,45,0.35
dual,door,225,135,0.0
dual,small_face_A,270,90,-0.5
dual,large_face_B,270,0,0.75
dual,large_face_AB,270,0,0.8
dual,door,270,90,0.0
dual,small_face_A,315,45,0.45
dual,large_face_B,315,315,0.2
dual,large_face_AB,315,315,0.35
dual,door,315,45,0.0
single,large_face_AB,0,90,-0.2
single,large_face_AB,45,45,0.35
single,large_face_AB,90,0,0.8
single,large_face_AB,135,315,0.35
single,large_face_AB,180,270,-0.2
single,large_face_AB,225,225,-0.4
single,large_face_AB,270,180,-0.43
single,large_face_AB,315,135,-0.4
cross,large_face_B,0,90,-0.4
cross,large_face_B,0,270,-0.2
cross,large_face_B,45,45,0.5
cross,large_face_B,45,225,-0.3
cross,large_face_B,90,0,0.75
cross,large_face_B,90,180,-0.43
cross,large_face_B,135,315,0.2
cross,large_face_B,135,135,-0.55
cross,large_face_B,180,270,-0.2
cross,large_face_B,180,90,-0.4
cross,large_face_B,225,225,-0.3
cross,large_face_B,225,45,0.5
cross,large_face_B,270,180,-0.43
cross,large_face_B,270,0,0.75
cross,large_face_B,315,135,-0.55
cross,large_face_B,315,315,0.2
corner,small_face_A,0,0,0.7
corner,large_face_B,0,90,-0.4
corner,small_face_A,45,315,0.2
corner,large_face_B,45,45,0.5
corner,small_face_A,90,270,-0.3
corner,large_face_B,90,0,0.75
corner,small_face_A,135,225,-0.3
corner,large_face_B,135,315,0.2
corner,small_face_A,180,180,-0.14
corner,large_face_B,180,270,-0.2
corner,small_face_A,225,135,-0.3
corner,large_face_B,225,225,-0.3
corner,small_face_A,270,90,-0.5
corner,large_face_B,270,180,-0.43
corner,small_face_A,315,45,0.45
corner,large_face_B,315,135,-0.55
dual,small_face_A,0,0,0.7
dual,large_face_B,0,270,-0.2
dual,large_face_AB,0,270,-0.2
dual,door,0,0,0.0
dual,small_face_A,45,315,0.2
dual,large_face_B,45,225,-0.3
dual,large_face_AB,45,225,-0.4
dual,door,45,315,0.0
dual,small_face_A,90,270,-0.3
dual,large_face_B,90,180,-0.43
dual,large_face_AB,90,180,-0.43
dual,door,90,270,0.0
dual,small_face_A,135,225,-0.3
dual,large_face_B,135,135,-0.55
dual,large_face_AB,135,135,-0.4
dual,door,135,225,0.0
dual,small_face_A,180,180,-0.14
dual,large_face_B,180,90,-0.4
dual,large_face_AB,180,90,-0.2
dual,door,180,180,0.0
dual,small_face_A,225,135,-0.3
dual,large_face_B,225,45,0.5
dual,large_face_AB,225,45,0.35
dual,door,225,135,0.0
dual,small_face_A,270,90,-0.5
dual,large_face_B,270,0,0.75
dual,large_face_AB,270,0,0.8
dual,door,270,90,0.0
dual,small_face_A,315,45,0.45
dual,large_face_B,315,315,0.2
dual,large_face_AB,315,315,0.35
dual,door,315,45,0.0
single,large_face_AB,0,90,-0.2
single,large_face_AB,45,45,0.35
single,large_face_AB,90,0,0.8
single,large_face_AB,135,315,0.35
single,large_face_AB,180,270,-0.2
single,large_face_AB,225,225,-0.4
single,large_face_AB,270,180,-0.43
single,large_face_AB,315,135,-0.4
