,roomA,roomType,ventilationRate
0,0,cross,0.18973665961010278
1,45,cross,0.3674234614174767
2,90,cross,0.4608687448721165
3,135,cross,0.3794733192202055
4,180,cross,0.18973665961010278
5,225,cross,0.3674234614174767
6,270,cross,0.4608687448721165
7,315,cross,0.3794733192202055
8,0,corner,0.4449719092257397
9,45,corner,0.4242640687119285
10,90,corner,0.11224972160321824
11,135,corner,0.0
12,180,corner,0.10392304845413261
13,225,corner,0.29999999999999993
14,270,corner,0.4347413023856831
15,315,corner,0.232379000772445
16,0,dual,0.506421129469709
17,45,dual,0.22929738188395052
18,90,dual,0.6024684361655083
19,135,dual,0.45215629927725487
20,180,dual,0.25373813176498455
21,225,dual,0.22929152565368802
22,270,dual,0.19246817468584088
23,315,dual,0.3934438248414905
